============================================================
  CPU SCHEDULING SIMULATION - FIFO (First-In First-Out)
============================================================

Number of processes:                         500
Total elapsed time (CPU burst units):        14734
Throughput (avg burst time per process):     21.1160
CPU utilization (%):                         71.66%
Average waiting time (burst units):          17.88
Average turnaround time (burst units):       39.00
Average response time (burst units):         17.88

------------------------------------------------------------
PID   Arrival   Burst   Start     Finish    Wait      Turnaround   Response  
155   4719      38      4719      4757      0         38           0         
156   4723      31      4757      4788      34        65           34        
157   4761      25      4788      4813      27        52           27        
158   4763      18      4813      4831      50        68           50        
159   4821      34      4831      4865      10        44           10        
160   4838      12      4865      4877      27        39           27        
161   4888      3       4888      4891      0         3            0         
162   4905      38      4905      4943      0         38           0         
163   4939      38      4943      4981      4         42           4         
164   4999      32      4999      5031      0         32           0         
165   5041      28      5041      5069      0         28           0         
166   5075      1       5075      5076      0         1            0         
167   5135      40      5135      5175      0         40           0         
168   5164      19      5175      5194      11        30           11        
169   5190      35      5194      5229      4         39           4         
170   5214      6       5229      5235      15        21           15        
171   5219      27      5235      5262      16        43           16        
172   5264      21      5264      5285      0         21           0         
173   5274      35      5285      5320      11        46           11        
174   5295      1       5320      5321      25        26           25        
175   5329      30      5329      5359      0         30           0         
176   5378      18      5378      5396      0         18           0         
177   5412      9       5412      5421      0         9            0         
178   5460      12      5460      5472      0         12           0         
179   5473      4       5473      5477      0         4            0         
180   5528      8       5528      5536      0         8            0         
181   5582      14      5582      5596      0         14           0         
182   5594      7       5596      5603      2         9            2         
183   5652      15      5652      5667      0         15           0         
184   5685      38      5685      5723      0         38           0         
185   5685      23      5723      5746      38        61           38        
186   5715      12      5746      5758      31        43           31        
187   5760      7       5760      5767      0         7            0         
188   5774      29      5774      5803      0         29           0         
189   5813      38      5813      5851      0         38           0         
190   5858      6       5858      5864      0         6            0         
191   5917      38      5917      5955      0         38           0         
192   5948      29      5955      5984      7         36           7         
193   5970      3       5984      5987      14        17           14        
194   5989      1       5989      5990      0         1            0         
195   6024      22      6024      6046      0         22           0         
196   6080      18      6080      6098      0         18           0         
197   6098      22      6098      6120      0         22           0         
198   6143      3       6143      6146      0         3            0         
199   6195      23      6195      6218      0         23           0         
200   6203      34      6218      6252      15        49           15        
201   6203      22      6252      6274      49        71           49        
202   6220      31      6274      6305      54        85           54        
203   6246      33      6305      6338      59        92           59        
204   6267      5       6338      6343      71        76           71        
205   6283      15      6343      6358      60        75           60        
206   6305      32      6358      6390      53        85           53        
207   6311      31      6390      6421      79        110          79        
208   6368      16      6421      6437      53        69           53        
209   6369      23      6437      6460      68        91           68        
210   6400      1       6460      6461      60        61           60        
211   6446      40      6461      6501      15        55           15        
212   6485      38      6501      6539      16        54           16        
213   6508      31      6539      6570      31        62           31        
214   6515      39      6570      6609      55        94           55        
215   6533      35      6609      6644      76        111          76        
216   6534      20      6644      6664      110       130          110       
217   6551      30      6664      6694      113       143          113       
218   6554      15      6694      6709      140       155          140       
219   6570      10      6709      6719      139       149          139       
220   6586      11      6719      6730      133       144          133       
221   6627      23      6730      6753      103       126          103       
222   6660      4       6753      6757      93        97           93        
223   6699      7       6757      6764      58        65           58        
224   6735      6       6764      6770      29        35           29        
225   6792      31      6792      6823      0         31           0         
226   6831      9       6831      6840      0         9            0         
227   6852      29      6852      6881      0         29           0         
228   6881      28      6881      6909      0         28           0         
229   6934      39      6934      6973      0         39           0         
230   6959      18      6973      6991      14        32           14        
231   6981      25      6991      7016      10        35           10        
232   7006      11      7016      7027      10        21           10        
233   7024      28      7027      7055      3         31           3         
234   7027      24      7055      7079      28        52           28        
235   7072      35      7079      7114      7         42           7         
236   7083      3       7114      7117      31        34           31        
237   7100      2       7117      7119      17        19           17        
238   7137      2       7137      7139      0         2            0         
239   7158      26      7158      7184      0         26           0         
240   7217      9       7217      7226      0         9            0         
241   7224      2       7226      7228      2         4            2         
242   7253      1       7253      7254      0         1            0         
243   7286      25      7286      7311      0         25           0         
244   7313      31      7313      7344      0         31           0         
245   7364      14      7364      7378      0         14           0         
246   7412      9       7412      7421      0         9            0         
247   7433      8       7433      7441      0         8            0         
248   7446      7       7446      7453      0         7            0         
249   7446      16      7453      7469      7         23           7         
250   7505      18      7505      7523      0         18           0         
251   7507      18      7523      7541      16        34           16        
252   7513      29      7541      7570      28        57           28        
253   7573      14      7573      7587      0         14           0         
254   7616      4       7616      7620      0         4            0         
255   7665      31      7665      7696      0         31           0         
256   7710      17      7710      7727      0         17           0         
257   7712      25      7727      7752      15        40           15        
258   7770      23      7770      7793      0         23           0         
259   7777      24      7793      7817      16        40           16        
260   7834      24      7834      7858      0         24           0         
261   7837      11      7858      7869      21        32           21        
262   7844      37      7869      7906      25        62           25        
263   7874      23      7906      7929      32        55           32        
264   7887      14      7929      7943      42        56           42        
265   7893      5       7943      7948      50        55           50        
266   7913      30      7948      7978      35        65           35        
267   7946      35      7978      8013      32        67           32        
268   7948      15      8013      8028      65        80           65        
269   7953      19      8028      8047      75        94           75        
270   7998      7       8047      8054      49        56           49        
271   8056      9       8056      8065      0         9            0         
272   8087      15      8087      8102      0         15           0         
273   8094      27      8102      8129      8         35           8         
274   8096      29      8129      8158      33        62           33        
275   8124      31      8158      8189      34        65           34        
276   8178      36      8189      8225      11        47           11        
277   8217      21      8225      8246      8         29           8         
278   8262      32      8262      8294      0         32           0         
279   8274      39      8294      8333      20        59           20        
280   8276      8       8333      8341      57        65           57        
281   8276      23      8341      8364      65        88           65        
282   8303      13      8364      8377      61        74           61        
283   8361      21      8377      8398      16        37           16        
284   8406      39      8406      8445      0         39           0         
285   8423      20      8445      8465      22        42           22        
286   8455      38      8465      8503      10        48           10        
287   8492      6       8503      8509      11        17           11        
288   8511      12      8511      8523      0         12           0         
289   8533      20      8533      8553      0         20           0         
290   8562      12      8562      8574      0         12           0         
291   8562      32      8574      8606      12        44           12        
292   8600      22      8606      8628      6         28           6         
293   8650      10      8650      8660      0         10           0         
294   8665      34      8665      8699      0         34           0         
295   8708      33      8708      8741      0         33           0         
296   8766      19      8766      8785      0         19           0         
297   8797      7       8797      8804      0         7            0         
298   8835      39      8835      8874      0         39           0         
299   8866      29      8874      8903      8         37           8         
300   8875      36      8903      8939      28        64           28        
301   8934      14      8939      8953      5         19           5         
302   8987      37      8987      9024      0         37           0         
303   8988      13      9024      9037      36        49           36        
304   9022      3       9037      9040      15        18           15        
305   9036      28      9040      9068      4         32           4         
306   9070      21      9070      9091      0         21           0         
307   9120      4       9120      9124      0         4            0         
308   9137      39      9137      9176      0         39           0         
309   9178      12      9178      9190      0         12           0         
310   9208      15      9208      9223      0         15           0         
311   9268      11      9268      9279      0         11           0         
312   9280      10      9280      9290      0         10           0         
313   9288      23      9290      9313      2         25           2         
314   9307      19      9313      9332      6         25           6         
315   9309      28      9332      9360      23        51           23        
316   9330      3       9360      9363      30        33           30        
317   9388      36      9388      9424      0         36           0         
318   9420      3       9424      9427      4         7            4         
319   9444      1       9444      9445      0         1            0         
320   9477      39      9477      9516      0         39           0         
321   9496      4       9516      9520      20        24           20        
322   9546      3       9546      9549      0         3            0         
323   9591      10      9591      9601      0         10           0         
324   9620      32      9620      9652      0         32           0         
325   9679      23      9679      9702      0         23           0         
326   9724      28      9724      9752      0         28           0         
327   9748      24      9752      9776      4         28           4         
328   9772      18      9776      9794      4         22           4         
